date,method,predicted_daily_variance,shrinkage,covariance_condition_number,max_weight,effective_n
2023-07-03,equal_weight,5.77877300055521e-06,,,,
2023-07-03,inverse_volatility,5.85534807109602e-06,,,,
2023-07-03,minimum_variance,3.391391621084944e-06,,15.919007439590242,0.09290336425538952,18.359294690124525
2023-08-01,equal_weight,5.680079290043643e-06,,,,
2023-08-01,inverse_volatility,5.759021553788081e-06,,,,
2023-08-01,minimum_variance,3.5792085254192282e-06,,14.041212950058563,0.07927597048042184,20.368273692057123
2023-08-30,equal_weight,5.145165754167645e-06,,,,
2023-08-30,inverse_volatility,5.206525110280252e-06,,,,
2023-08-30,minimum_variance,3.3349002374334174e-06,,12.926708335697121,0.08704126042149568,20.07699037607268
2023-09-28,equal_weight,4.911796589359204e-06,,,,
2023-09-28,inverse_volatility,4.909705735528887e-06,,,,
2023-09-28,minimum_variance,3.367062533500705e-06,,13.102243418744266,0.08939262810280155,20.913225255143818
2023-10-27,equal_weight,4.5713816995119355e-06,,,,
2023-10-27,inverse_volatility,4.652344441188092e-06,,,,
2023-10-27,minimum_variance,3.1641873765359754e-06,,14.570587759245646,0.09485688553182678,21.10044700590107
2023-11-27,equal_weight,5.413550149327796e-06,,,,
2023-11-27,inverse_volatility,5.615242150975847e-06,,,,
2023-11-27,minimum_variance,3.449306820821764e-06,,16.883505644151537,0.09346197278904073,20.680032237708016
2023-12-26,equal_weight,5.3870710456300175e-06,,,,
2023-12-26,inverse_volatility,5.55841182025188e-06,,,,
2023-12-26,minimum_variance,3.38222950592706e-06,,16.12817516864543,0.08607678583799817,20.586082533294515
2024-01-24,equal_weight,2.7077218375644074e-05,,,,
2024-01-24,inverse_volatility,2.6891060381080287e-05,,,,
2024-01-24,minimum_variance,1.5072914508618757e-05,,26.913663309182553,0.1579235882241461,11.640924548400728
2024-02-22,equal_weight,5.5545533612720726e-05,,,,
2024-02-22,inverse_volatility,5.497768308582042e-05,,,,
2024-02-22,minimum_variance,3.38126668131255e-05,,66.11100189444805,0.1439370663448551,11.332767816873753
2024-03-22,equal_weight,8.936298006952112e-05,,,,
2024-03-22,inverse_volatility,8.78798036289488e-05,,,,
2024-03-22,minimum_variance,6.137898819048073e-05,,114.13014210876352,0.14839142424375798,10.39129574943828
2024-04-22,equal_weight,0.00012894292622008376,,,,
2024-04-22,inverse_volatility,0.0001263668296584715,,,,
2024-04-22,minimum_variance,8.784671634305268e-05,,179.95038913448732,0.28596875901401236,6.499828495841413
2024-05-21,equal_weight,0.00013861768322441054,,,,
2024-05-21,inverse_volatility,0.00013658932223866075,,,,
2024-05-21,minimum_variance,9.790962753448315e-05,,189.5946725488051,0.24634407176736528,7.67132151017391
2024-06-19,equal_weight,0.0001381926899718767,,,,
2024-06-19,inverse_volatility,0.00013619098878797723,,,,
2024-06-19,minimum_variance,9.752582950084949e-05,,185.54215714997562,0.22808776848542034,8.061514272542151
2024-07-18,equal_weight,0.00011277505719812055,,,,
2024-07-18,inverse_volatility,0.00011127890451105624,,,,
2024-07-18,minimum_variance,8.096089257478802e-05,,156.5472342515556,0.1625661546288829,9.899002811257347
2024-08-16,equal_weight,8.616438315172925e-05,,,,
2024-08-16,inverse_volatility,8.457928367782448e-05,,,,
2024-08-16,minimum_variance,5.892194918814623e-05,,117.30151984877206,0.21686655592294868,8.335369049186989
2024-09-16,equal_weight,5.470959208082795e-05,,,,
2024-09-16,inverse_volatility,5.40035975338434e-05,,,,
2024-09-16,minimum_variance,3.513295487710184e-05,,72.32091822571141,0.19112371799329486,8.826512104467563
2024-10-15,equal_weight,1.4521257255690373e-05,,,,
2024-10-15,inverse_volatility,1.5184857594211085e-05,,,,
2024-10-15,minimum_variance,8.499698091631171e-06,,17.94329172704417,0.10233596268944033,16.87213943348401
2024-11-13,equal_weight,4.539208494127134e-06,,,,
2024-11-13,inverse_volatility,4.410966771781295e-06,,,,
2024-11-13,minimum_variance,2.907767025953544e-06,,20.80712334985444,0.091412204496345,20.749690127993432
2024-12-12,equal_weight,5.237731407435228e-06,,,,
2024-12-12,inverse_volatility,4.8094542868659614e-06,,,,
2024-12-12,minimum_variance,3.2221109368069343e-06,,30.580710249345724,0.0945439683579185,18.628317456027812
2025-01-10,equal_weight,5.500856557885428e-06,,,,
2025-01-10,inverse_volatility,5.212968860647936e-06,,,,
2025-01-10,minimum_variance,3.5185252233237127e-06,,25.501099638454157,0.07717245884223045,20.178246199760967
2025-02-10,equal_weight,5.122815291838634e-06,,,,
2025-02-10,inverse_volatility,5.144830918334519e-06,,,,
2025-02-10,minimum_variance,3.507742113595254e-06,,19.600158233624484,0.08223091457827045,22.118485276101094
2025-03-11,equal_weight,5.302596642838926e-06,,,,
2025-03-11,inverse_volatility,5.286325854147105e-06,,,,
2025-03-11,minimum_variance,3.46573368665878e-06,,19.73822946989141,0.0845222130316034,20.596248512218285
2025-04-09,equal_weight,5.680721276195657e-06,,,,
2025-04-09,inverse_volatility,5.649768614354561e-06,,,,
2025-04-09,minimum_variance,3.4651235772791485e-06,,15.949053783123688,0.09815941377742596,18.813788875118302
2025-05-08,equal_weight,5.655809280471371e-06,,,,
2025-05-08,inverse_volatility,5.652920869989381e-06,,,,
2025-05-08,minimum_variance,3.5799169093080994e-06,,15.510557766300277,0.09361580967237151,19.21854556582441
2025-06-06,equal_weight,5.442414184015272e-06,,,,
2025-06-06,inverse_volatility,5.606087579392932e-06,,,,
2025-06-06,minimum_variance,3.565969876774543e-06,,11.576288380365396,0.08949031957805659,21.189385264814238
