inverse_volatility,minimum_variance,minimum_variance_oas
5.9359233247048803e-05,-0.0001854520299145661,-0.0004432667644414808
0.00012887148544662536,-3.2496309956823414e-05,-0.00018758232026142485
3.789001807906817e-05,0.00018793354504810343,4.139712009434087e-05
7.332246021094952e-05,-0.00023952608753838864,-0.00045305851561219064
-2.725055895701217e-05,-0.0008659035417064508,-0.0011504933937964848
3.39044028214733e-05,-0.0001464957487604498,-0.00025516457877011625
0.00011596093153146475,0.0002656941918686346,3.5319758678446474e-05
0.00012074552187529371,0.0001781261885372813,-5.642062713484307e-05
0.00018134080360283341,0.0010063910881056473,0.0007378584411160258
-4.478297598247116e-05,-0.00027250134638197494,-0.0005768821964312935
5.1602657559773516e-05,-0.0005757525587422824,-0.0006591421762806775
0.0001297451366251527,0.00029761970273531997,7.451026207778015e-05
1.4383106684159175e-05,-0.0004171668175786916,-0.0006077240362363989
-1.0322849072202223e-05,0.00023304147033418782,7.240235084511194e-05
1.300771754441201e-05,-0.0004346647828791665,-0.0006660434017057438
-7.241610910474459e-05,-0.0005126533899487431,-0.0005349273478353191
-4.4108804446201986e-05,-0.0003289946983502759,-0.0006161682478973141
7.37426111702436e-05,-0.0005796243041852515,-0.0008092887690085025
0.00015911770427421798,-0.00021907255607436018,-0.0005390676417761681
4.6759404292696845e-05,-0.0005736364604990601,-0.0006744956641869768
-5.1631272638412884e-06,-0.0007838064495619671,-0.0008507242161138134
-0.0001178041290608084,-0.00033832508606358047,-0.0004487478895970041
-0.0002005021670159563,-0.0007636946134945144,-0.0008639127395088132
-7.901075592967152e-06,-0.0003029653841751488,-0.0005257629603069294
0.00010459027016986933,-0.0007460472104339625,-0.0009951942470281722
-9.709986626746814e-05,-0.0005238083751238128,-0.0005814233619928483
0.0002255824210132103,0.000259191310953855,-0.00011975617244655137
6.808548852940113e-05,0.00017417293564759315,-5.011610247851301e-05
9.567705893002935e-05,-0.00017110967640524143,-0.0003798189143917283
-3.5665329646426304e-05,-0.0004776598502984894,-0.0006720518007285157
7.239540141296111e-05,6.670271204748995e-05,-0.00014071335288825718
0.00019324616250139897,1.7377728050026604e-05,-0.00019816591093698007
-7.57383755955668e-06,-0.00023111602775534556,-0.0002579060660887558
6.0858473807229784e-05,-0.00010108767610600333,-0.00019777871234905907
-0.00011010151311224576,9.66303979128832e-05,-8.332320840587681e-05
0.0001682950460340579,0.0003000381550673809,0.00020186872930953956
-1.4586354283767388e-05,-0.0002959446374356448,-0.00044811562692039956
3.2491363793149953e-06,-0.00027117359067422436,-0.000375103744027356
4.2208292769068035e-05,-9.891726937845418e-05,-0.00036498773192492496
-9.177216249766553e-05,-4.960183077703571e-05,-0.0002576037796776311
7.021718096567677e-05,-0.0007287220443881547,-0.0009702108658226857
4.51187901504583e-05,0.0001039096459416664,-2.030735074823576e-05
2.8822495490851287e-05,-0.00013498214204677017,-0.0003274945665817294
-0.00017462316143739335,-0.0006773787183091236,-0.0007161510129929165
5.543208502790852e-05,-0.00016183071774050894,-0.00022847826928553268
8.871182612181586e-05,0.00024441048109081316,-2.4568249891155985e-05
8.527857294802363e-05,0.00036305859628151687,0.0001717821645098953
0.00012181520236887347,1.0842640872209416e-05,-0.00014152625217409478
0.00012287396067858582,0.00019815725340244632,3.678272200689127e-05
-4.071663437833745e-06,-0.0002793652020964409,-0.00036769052374940875
-1.9940713692255334e-05,-0.0007346922969094671,-0.001049167079643428
8.638183624580655e-05,-0.0005683712397009072,-0.0007866637790040662
0.00012257176228347053,0.00018109122052865846,-3.999748599003281e-05
8.013871895619247e-05,0.00026858479613240115,0.00022216313734038713
2.8282853800615872e-05,-0.00016899800335987034,-0.0005717544908543644
-0.00011384509539659113,-0.000772642684160634,-0.0007973352114039188
3.207638523636608e-05,-0.00036159839520724207,-0.0004986015847739229
-6.509736754589792e-06,0.00034580878572970295,0.000150295673399923
1.5865840727903194e-05,-7.837870125893136e-05,-9.730374081326596e-05
0.0002088441615196813,-5.470005939939003e-05,-0.00033039222907779633
-9.02889764319435e-06,-0.00026661728729193186,-0.00029417079507191126
7.306122485905778e-06,-0.00011455509677669998,-0.00018105717839163305
7.312724238458241e-05,4.8034045329978155e-05,-7.562804357818097e-05
-2.8081942822717255e-06,-0.0002542269858478399,-0.0005160326243423914
8.130347862158336e-05,0.0002824911784030602,0.00013424311231621724
6.025881714763048e-07,0.00024973731156645415,0.00019284083593527944
-1.792941784567757e-06,-0.0001664795970753991,-0.0003101645341626033
-3.368030417196327e-05,-0.000940087779030483,-0.0010258650413661353
4.969136154161939e-05,-0.00011915388680706097,-0.0002369318007403936
7.838373624849025e-07,-0.0007026869787917821,-0.0009327146229680882
-2.2790747873085526e-05,-0.00013939401532855016,-0.00021337375466187096
8.78172286455211e-05,-0.00022072306534804464,-0.000511690719341598
3.746300922327585e-05,-0.00022692905299378862,-0.00029392734092149045
5.301727097401903e-05,0.00043809946676307725,0.00022531028074322795
-4.596637758997617e-05,-0.0007924559203558923,-0.0009423093474797207
-3.2558894947374504e-05,-5.983536816800715e-05,-0.0004820491422246223
-4.122814005919518e-05,-0.00028410107225420575,-0.0004239263522254619
6.37560139232305e-05,-0.0005321079961023037,-0.000574140870716746
0.00014194072339563722,0.0002875701606531956,0.00012063886269871586
4.9338667238605426e-05,-0.0004927120677043894,-0.0005737538273018749
-1.5893774930857688e-05,-0.0005482892217446148,-0.0005860490017245274
2.5746574244840502e-05,-0.0004780939657418943,-0.0006934475298486399
4.5570018123768015e-05,0.0002965098327258771,0.0001151793009481216
0.00010130232217878224,0.0002601016386541084,0.0001608648555397432
7.311392516716887e-05,-0.00040554437754972437,-0.0005221751206722014
