method,regime_return,regime_max_drawdown,realized_ann_variance,predicted_ann_variance,realized_to_predicted,mean_one_way_turnover
equal_weight,-0.13353030404659771,-0.2066953286787233,0.03554895115386294,0.02998158151917729,0.9057575083013916,0.0
inverse_volatility,-0.1272584957033296,-0.20123539548848057,0.035665480596807984,0.02947022026419081,0.942352005119572,0.008641006416653508
minimum_variance,-0.11107644034145847,-0.20509364602635616,0.03499894843897729,0.02075936789371339,1.1465570755656433,0.1406381617769978
