comparison,annual_variance_difference,simultaneous_ci_low,simultaneous_ci_high,familywise_p_value
inverse_volatility minus equal_weight,4.331167969932973e-05,-0.00011424128032727561,0.00020086463972593507,0.7705
minimum_variance minus equal_weight,-0.00033077116263513626,-0.0012580729019464043,0.0005965305766761318,0.6465
