inverse_volatility,minimum_variance
5.9359233247048803e-05,-0.0005898351163525498
0.00012887148544662536,-0.0002793710744958115
3.789001807906817e-05,-5.6802006681529004e-05
7.332246021094952e-05,-0.000562751684155011
-2.725055895701217e-05,-0.0013597329955034403
3.39044028214733e-05,-0.00030799337897430864
0.00011596093153146475,-9.492127956710076e-05
0.00012074552187529371,-0.00018875028982157652
0.00018134080360283341,0.0006181570882635172
-4.478297598247116e-05,-0.000756563085221916
5.1602657559773516e-05,-0.0006675937024301958
0.0001297451366251527,-6.486016046763113e-05
1.4383106684159175e-05,-0.0007494039936687933
-1.0322849072202223e-05,-1.2273522299094798e-05
1.300771754441201e-05,-0.000822127839011053
-7.241610910474459e-05,-0.0005523378145491066
-4.4108804446201986e-05,-0.0008289771274804023
7.37426111702436e-05,-0.0009638762279804779
0.00015911770427421798,-0.0007512690071149596
4.6759404292696845e-05,-0.0007227339528961894
-5.1631272638412884e-06,-0.0009155390341235476
-0.0001178041290608084,-0.0005596446747586494
-0.0002005021670159563,-0.0009716347596248726
-7.901075592967152e-06,-0.0006847470921526165
0.00010459027016986933,-0.0011117216992103664
-9.709986626746814e-05,-0.000664876156832051
0.0002255824210132103,-0.000328145801215884
6.808548852940113e-05,-0.00017113968674054857
9.567705893002935e-05,-0.0004858493055204039
-3.5665329646426304e-05,-0.0008108846666036351
7.239540141296111e-05,-0.0002538723576058085
0.00019324616250139897,-0.0003029064926492363
-7.57383755955668e-06,-0.00029435115466028343
6.0858473807229784e-05,-0.00023097370501936994
-0.00011010151311224576,-0.00022844628777375032
0.0001682950460340579,0.0001687078025133831
-1.4586354283767388e-05,-0.0005303592435098971
3.2491363793149953e-06,-0.0004486460332740022
4.2208292769068035e-05,-0.0005232057094796251
-9.177216249766553e-05,-0.00042261323125673475
7.021718096567677e-05,-0.0011013982421379802
4.51187901504583e-05,-9.637174161207511e-05
2.8822495490851287e-05,-0.000430424953005651
-0.00017462316143739335,-0.0007668730616696431
5.543208502790852e-05,-0.0002408582808660794
8.871182612181586e-05,-0.0001700163300803225
8.527857294802363e-05,0.00010993014130623302
0.00012181520236887347,-0.00025659063413227654
0.00012287396067858582,-6.719347975271651e-05
-4.071663437833745e-06,-0.000415688261715612
-1.9940713692255334e-05,-0.001261759222406808
8.638183624580655e-05,-0.0009156142172077792
0.00012257176228347053,-0.00011856087094135558
8.013871895619247e-05,0.0001769276947026537
2.8282853800615872e-05,-0.0008423044715351347
-0.00011384509539659113,-0.000833385053506696
3.207638523636608e-05,-0.0005572855646377985
-6.509736754589792e-06,1.274440847155237e-05
1.5865840727903194e-05,-9.59411436655315e-05
0.0002088441615196813,-0.0004893047713316328
-9.02889764319435e-06,-0.00030007003919292646
7.306122485905778e-06,-0.00021391721587122524
7.312724238458241e-05,-8.462149959573834e-05
-2.8081942822717255e-06,-0.0007386150493338519
8.130347862158336e-05,2.8340325774813392e-05
6.025881714763048e-07,0.0001637319063482626
-1.792941784567757e-06,-0.0003896593613137181
-3.368030417196327e-05,-0.0011000222762605582
4.969136154161939e-05,-0.00030723905316518444
7.838373624849025e-07,-0.0010714409055532649
-2.2790747873085526e-05,-0.00024428751847594305
8.78172286455211e-05,-0.0006768531227253162
3.746300922327585e-05,-0.0003134191406509759
5.301727097401903e-05,5.922777460540851e-05
-4.596637758997617e-05,-0.001042834157639125
-3.2558894947374504e-05,-0.0007677028776911926
-4.122814005919518e-05,-0.0004972358220342928
6.37560139232305e-05,-0.000584668059127851
0.00014194072339563722,7.452951610742106e-05
4.9338667238605426e-05,-0.0006117841594552674
-1.5893774930857688e-05,-0.000574254211472111
2.5746574244840502e-05,-0.0008563824841359828
4.5570018123768015e-05,2.689893221703959e-06
0.00010130232217878224,0.0001251808774905796
7.311392516716887e-05,-0.0005939690558051849
-8.738535056153284e-05,-0.0008080148119391414
-1.698937884434974e-06,-0.0002777046488348521
0.00016211816735364605,-0.0003556413218735289
-3.667557957300486e-05,-0.0008300667482206823
8.911200841341913e-05,-0.00046782719277937794
3.758073418280833e-05,-0.0009464732936389754
0.0002267888921251695,-0.0002402859490994529
0.0001599405022606272,0.00011623473931791697
0.00016758620731280972,0.0003749447876532218
-4.5584719636045595e-05,-0.0004810203616961078
4.7437024931533536e-05,-0.000496861373863351
8.31132819863823e-05,-0.00012754679204998813
-5.036768131137627e-05,-0.0002715288836833874
0.00013673044433033408,-0.00040416959031932035
-3.312540173577199e-05,-0.0006204349852119109
8.2425607698732e-05,-0.0009613488817775513
1.0772937594108592e-05,-0.0005620372758570447
-3.121166581109897e-05,-0.00028249149985691904
3.152702142308935e-05,-0.0012290369293386626
0.00012852991671261787,4.0214135010398564e-05
6.484796622881173e-05,-6.184834330038615e-05
0.00017286344486672044,0.00025493938112718117
0.00011058601774195817,-0.0003186079726827415
-1.0824456530438768e-05,-0.0005993318842831051
4.487759101780132e-05,-0.0004431976634983624
0.00013271901749458727,-0.0003964432354821124
0.00014899371174223092,-0.0010325115554652528
1.8575677784150776e-05,-0.0005565550373023216
3.113011709041016e-05,-0.00044798554430884065
-9.917312557264853e-05,-0.0010447328455308255
0.00010068649575319241,-0.0004929620148199255
0.00010132902077993123,-0.00042878147328028013
8.208337612107308e-05,-0.0001472101231399436
-9.375043858779857e-05,-0.00034582492761209987
9.891928355565226e-05,-0.0005690733094693319
7.387331974036923e-05,-0.0008758242160173719
7.340117170527384e-05,-6.370477101531213e-05
-6.350660760747048e-05,-0.0007266759643511677
4.2935701526643845e-05,-0.00034222042016833
8.216987694063886e-05,-0.000583910554073432
0.00013869403635400485,-0.0004827578759374603
0.0002505116708760831,0.000346231984772769
0.0001451224606149818,0.00010339679187265535
0.00011656738997480089,-0.0006905598012504706
0.0001736170270436463,0.0002911613976246671
0.00010914488326777135,-4.128830712825531e-05
7.744754803636909e-05,8.757112210667214e-05
0.00010232807455117906,0.00015222293253984407
2.3667537811987506e-05,-0.0001600797453105626
-4.243687845580434e-05,-0.00019360630695911777
8.353038662261868e-05,-0.0005469787978419695
6.283323974569496e-06,0.00022559085130069523
5.909206157703078e-05,-3.360956270415807e-05
0.0001023347439098484,-0.0001416131952595283
4.3982056208132184e-05,-0.0007768478115166815
9.866946390452654e-05,-0.0003440593134020857
0.00012091239255295299,-0.00023211857074488976
-1.912690029548845e-06,-0.0009002489888912395
-5.276809248488205e-05,-0.0006503365818623268
-1.4791763958007967e-05,0.00015673838402727527
-1.3124495056170325e-05,0.00033149395592744753
0.0001015302865374674,0.0004917804027024313
-8.240888058004501e-05,-0.0005629831054419835
1.697626467002904e-05,-0.00021511732401420058
2.4708700542228496e-05,-2.666788747653396e-05
6.285326266043575e-05,-0.0002869377239011512
2.9025278766525584e-05,-0.0004141151297799762
-3.859477082648351e-05,-0.0005670811884993326
-2.6400834807366617e-06,0.00014382283678129418
0.0001295926354116092,-0.00023229697922139708
7.119322940495936e-05,3.4756858863816266e-05
4.401899535417237e-05,2.4407979613553902e-05
1.3635203339802042e-05,-0.00046188732642236236
1.9718307375888553e-05,-0.00019509131392949025
6.422224441827662e-05,0.00021328515706779618
-1.2440099762675818e-05,-0.0001586378348908526
-2.1487499634294217e-05,-0.000677769464916833
-5.317964839357252e-05,-0.00027455629017915297
-0.00015753559734077422,-0.001448421704643175
-0.00011108532886083911,-0.0003018385569723026
4.459979253226663e-06,-0.00038709574846133057
0.00012622830193441512,0.00010629067694576663
3.3798404033915405e-05,-0.0007461486594495618
0.00010535018543330794,5.388921737492126e-05
0.0001248222684031685,-0.0005309801753102618
8.782503907912907e-05,-0.0005131400459905962
5.357957440924049e-05,-0.0007056401340413967
-9.017793519277797e-05,-0.0008695887612457309
-1.9510644993714696e-06,-0.00017870587220278228
7.884102927369134e-05,-0.0005443145314609471
4.610821560073773e-05,-0.00021454146692143517
8.838309781717451e-05,-0.0004931851241592598
0.00014299704738556646,1.6170606794941526e-05
7.362596473913285e-05,-0.00010517355219601015
0.0001696066404463464,0.0002929888168522023
9.925698212942267e-05,4.530675768024892e-05
0.00011931886780650801,0.00018779134528893317
0.00017668300659798078,-0.00043560758132863835
5.949884449311585e-05,-0.0004965439067436266
6.208088506446768e-05,0.00018669633830152598
-7.025802759193586e-06,-0.0005875651154860855
-8.801039953187229e-06,-0.00018470018530626143
3.7948678623991904e-05,1.9478140942392867e-06
7.372593197739594e-05,9.450598461665135e-05
-7.58409363404209e-05,-0.0005374898081189848
5.868863005503777e-05,-0.00016723555972450934
-2.631366184643179e-05,-0.00015814918893679436
-4.107861868645645e-05,-0.0008796984196273005
1.5144848704082384e-05,-0.0006843016556258849
4.428280350481136e-05,-0.0003247634474424233
8.553922751469833e-05,6.098125905824547e-05
8.414757922585157e-05,-0.0002469365226495007
5.3393945382224106e-05,-0.0001324629398161806
0.0001667273564349154,0.0004489759733200168
5.986878744392772e-05,-0.0005176612366459086
9.441721344092188e-05,-0.0002084589503314097
5.485674420662668e-05,8.315920884635337e-05
7.702625467582999e-05,-0.00028990471037238104
-0.00011937714153626298,-0.0006855726942576727
-9.084127051862476e-06,-0.0003540213417443234
0.00012767276234576446,-5.4294672139727914e-05
1.905212604200022e-05,-0.0003833869470813791
-3.928364206864319e-05,-0.000711634588234097
5.06599794638739e-05,-0.0004410302236595082
0.00013180743298275453,-5.2802467098214464e-05
-2.653969748350472e-05,-0.00048812934898150273
-6.424362744502992e-06,-0.00012151181038156484
1.642915927329837e-05,-0.0010646487158240008
5.437364013968696e-05,7.9844564894594e-05
-6.427758425415838e-05,-0.000792323102450726
0.00010850335883434459,0.0001382850729905717
0.00011379739981808422,0.00010835718264422183
0.00010547244528082118,-0.0004123336938300875
9.76870203186072e-05,-2.3117929722566176e-05
9.447507748626168e-05,3.828951878379294e-05
0.00010810879893918891,-0.0009995646812846464
-8.074114781827949e-05,-0.0009018726410984247
-5.03071726757979e-05,-0.0002811657697801283
3.717514113327657e-05,-0.00014518017111623974
7.368690734165331e-05,-0.0003358098713351043
-7.960693045606088e-05,-0.0008125587362549537
1.0803640998083129e-05,-0.000524984794654028
5.48588869346527e-05,-0.0010405962933485247
-3.312028350171178e-05,-0.0011198887936021593
7.989460503158143e-05,-0.0002541923539351239
0.00011726719950992044,2.6447315492613614e-05
4.033872950709501e-05,-3.740705779761331e-05
2.6643435415817167e-05,-0.0005926737515133138
8.404856724911376e-05,0.00022800323134152916
4.8509351469004744e-05,-0.0003069244363986741
3.6526442604887307e-05,-0.00012182839248342899
8.744908141685126e-06,-0.00047471634350750377
3.074198466748788e-05,-0.00016505030545813215
4.071335403355112e-05,-0.0002976592769582413
0.0001873689438815928,-0.0006337983760430102
-8.601741053719807e-07,-0.0004386100175069913
0.00014258592698021446,-0.0005988417433971789
7.472201695311452e-05,-5.623095397303926e-05
-5.602969492697626e-05,-0.00025514006940844644
0.00016139763734452243,-0.0005353522645141131
0.00011503135881979877,-0.00037517770082517494
7.2353207238614985e-06,-0.0007319721820606953
-7.641949347525685e-06,-0.0005424359002160871
9.22899555109432e-05,0.0003406564289452953
0.00013791591038124097,-0.0002981690534618343
4.8799431899607094e-05,-0.0005903886265536205
0.00012986317153066787,-0.00019240639411819538
3.2714640785801955e-05,-0.0003770760027763232
-2.0461931583375646e-06,-0.0003381892333840593
-3.6466561181786695e-05,-0.0005210024014550456
-2.3011404725076207e-05,-0.00032824888884273754
-6.787046773544064e-05,-0.0005334910552118564
7.88985405182578e-05,-0.0018494901885565177
4.645570417812671e-05,0.0003048860119192674
-3.51168431629958e-05,-0.0006841776238275118
0.00011171154830303643,-4.796447217417784e-05
-1.5542336153431027e-05,-0.00020402042407954472
0.00014116327311295096,-0.0008847308776716193
0.00011631381248139515,-0.0006146941787106179
9.974674661459312e-05,-0.0002941406086410491
1.2231424946947123e-05,-0.0012217994159431352
2.5857894675629825e-05,-0.0005119915973683319
-8.769123011949948e-05,-0.00035931307460308157
-0.00011094376669386506,-0.0008137199228449316
0.00011595087802717543,-4.7631621764250714e-05
0.00013133554819832943,0.00021340996665143014
3.5040453865218103e-06,-0.0008321688171630759
0.00011784344454324005,0.00040485521157501063
4.853227560953273e-05,-0.000712286726262551
7.90853931387556e-05,-0.0008217124538209505
-1.330915584553223e-05,-0.0006663300031195655
0.00013463786515708067,-0.0006189497894618125
1.7631567397506415e-05,-0.00015204139622541034
0.00010983593310692939,-0.0006031761863017195
-3.0673002061684044e-05,-0.0006633608070513075
-6.832959656668944e-05,-0.0003137748775230354
0.00010475403971585526,-0.00024092267266750183
6.883388651321193e-05,-0.0006777091633756705
3.768633263797862e-05,-0.00022789819586345607
8.57662062553505e-05,-9.15126215584778e-05
2.6200481167229636e-05,-0.0005484929568051169
8.21813836902112e-05,1.0425901250972949e-05
0.00013270144045865494,0.0003213026057309123
2.620122468288127e-05,-0.00030833258496974476
7.615678894689102e-05,-0.00016195817149640515
0.00014083126825651605,0.00010583829571252185
5.015144430593464e-05,-6.068458121113597e-05
7.638492859724335e-05,-0.00016205173817913308
0.00014607457957220435,-0.00015087385466061563
4.036970959737208e-05,-0.0006813660081534253
7.380841535793061e-05,0.0004102191233005013
6.746254188344926e-06,-0.00018060638702226627
0.0001653045719738361,-0.00040871891555040244
2.797398176035041e-05,-0.0007088008478785109
-1.9056825561112705e-05,-0.0006408881459733516
-8.363391555005485e-05,-0.0005921181317968328
9.41074988920596e-05,-0.0005949220281913418
-4.816206182842761e-05,-0.0006416418729888994
-7.282793485883718e-05,-0.000533549786025642
0.00012106822373584729,-0.00012982978354664484
3.242590428939742e-06,-0.0003623893196622148
4.818533416365108e-06,0.00019826695567752795
7.1082942198046615e-06,-0.0011591510484926513
-0.00010259422185023598,-0.0005978529387140295
4.156587194228281e-05,-0.0006414870711118877
-9.655289027109534e-05,-0.0005417064545818254
0.00012989215123093592,-0.000517471378173258
-6.070823632044409e-05,-0.0010800044052425525
2.2113451497172477e-05,-0.0005132732238648695
8.413082974437132e-05,0.00027647806529632784
0.00011895247612600618,-2.0011010654038207e-05
-1.1637707329603604e-05,-0.0008390420801333748
-2.2812287143483562e-05,-0.0007149867551078646
0.00011411279983350055,-0.0006391974624583578
-3.5469406461668843e-06,-0.0009679664729598234
8.60637169886014e-05,-0.00043524877715507874
0.00016712956843944983,-0.0009271834383372104
-2.5424973774148684e-05,-0.0005586110596593475
0.0001418872093012385,-0.0003211354179119255
