,strat_001,strat_002,strat_003,strat_004,strat_005,strat_006,strat_007,strat_008,strat_009,strat_010,strat_011,strat_012,strat_013,strat_014,strat_015,strat_016,strat_017,strat_018,strat_019,strat_020,strat_021,strat_022,strat_023,strat_024,strat_025,strat_026,strat_027,strat_028,strat_029,strat_030
2023-07-03,0.023740886326650504,0.01445809024832824,0.003748272221152253,0.01461532762339007,0.008887038559971253,0.0377867848803182,0.03255242521579045,0.0,0.057886186450791174,0.019241179692100298,0.06410677319973554,0.006829356298118268,0.019744179539449132,0.0,0.005956173615071461,0.05501974890693456,0.08303301644515207,0.06669233079535619,0.007219670427629138,0.014252933087965797,0.03550822066303179,0.02520879802840219,0.07694912069060048,0.04897843645691895,0.05159486218844031,0.0,0.036175550141988554,0.09290336425538952,0.033288855534044356,0.06362241850727937
2023-08-01,0.01979997438281854,0.02817433958857682,0.005959616394791711,0.012908942705265953,0.012444874059738924,0.028161910126267405,0.03127727740965653,0.023823263238160752,0.06091041000074021,0.012246621207205554,0.0555454140741891,0.006512262634965214,0.03111198271176785,0.0,0.015252884149598554,0.04664662464064246,0.05983151838769346,0.06063009008494395,0.017955668324298,0.018367029240740653,0.047683906339564916,0.03362300906528471,0.07877449626472428,0.042171826875221544,0.06577506980832826,0.0,0.014578383072081182,0.07927597048042184,0.02763780198506331,0.06291883274724831
2023-08-30,0.023893075139911804,0.029122127314663793,0.0064856399216943125,0.02461075286372952,0.007822910163340187,0.035591257962964626,0.05568641116284075,0.01854450657367357,0.06327654186759446,0.0,0.06170016731166844,0.009198410416843182,0.03216980767112047,0.0,0.02350301615492113,0.02847796087574691,0.05982029051098136,0.040158688200182195,0.006935695851402485,0.025452369400924633,0.03897859565785391,0.03820958352757694,0.08704126042149568,0.020289113924873873,0.06485716610099504,0.007507277154395073,0.015703497370247718,0.0770966354547615,0.0319270135664566,0.0659402274571399
2023-09-28,0.03071791809615942,0.040358311101568144,0.0,0.022018081045311024,0.02719878424223286,0.03439326287876815,0.051685377163131874,0.007884630224324576,0.05978184915037481,0.010369514368989394,0.07758241107173577,0.01885166910309338,0.0245879805667884,0.003935530999235375,0.014841922576910069,0.033398549451561774,0.03295503525059673,0.03952043673358882,0.01735543777375217,0.0332548927235776,0.02302328906248553,0.03055032754083618,0.08939262810280155,0.03399803041924668,0.06533148274759353,0.0,0.01327470696985214,0.05846492654993234,0.04927877814542153,0.05599423594013017
2023-10-27,0.029468076289479797,0.05024838167334261,0.0007141471626100591,0.012537975458220278,0.03178187161540697,0.023737777538670585,0.05034143179509343,0.010196215701903362,0.04663159649615479,0.017020104065743266,0.07679098953834548,0.027997243010223195,0.04116957134179387,0.0,0.01695539428116792,0.021537899830907377,0.0,0.031219265325632163,0.01812903469532861,0.04191209659598664,0.036105065728275765,0.022856721873360346,0.09485688553182678,0.03981787281220573,0.060186171247617534,0.018993945464593057,0.02917093765059433,0.056128424537193314,0.05709241131543784,0.0364024914228849
2023-11-27,0.026950793096684834,0.048467519437800956,0.0,0.007997662617427107,0.018202955446250932,0.014839741759797163,0.04751829497123327,0.00826801289400807,0.029616377283299654,0.013554281974301571,0.06718757875168473,0.04400989096750763,0.046418455832725816,0.0,0.03873469586456579,0.03425834405436827,0.0,0.02900974937617122,0.0,0.05564941153532052,0.03364624538481686,0.020453328401053218,0.09346197278904073,0.029595201962415968,0.047962457184292304,0.03660347937448466,0.033799967458902055,0.06140652486699726,0.060017443264062324,0.052369613450786674
2023-12-26,0.027312640335577516,0.05424809029872321,0.0005645151553601777,0.022855610176620397,0.02095166881372429,0.007620821942751181,0.03413635063327605,0.006383750168572391,0.032952200914947424,0.013134511205548543,0.08607678583799817,0.02870760327059506,0.04139763825808224,0.0,0.041568009662949934,0.031425925154472234,0.0,0.028569599068070155,0.0,0.038448708409462545,0.03307169479535657,0.032130383718416505,0.08061337147370609,0.02555784876678309,0.06664612131255358,0.04850365608655115,0.03823575201143252,0.0570708906581948,0.06626991092705269,0.03554594094322154
2024-01-24,0.0,0.06455006759067564,0.008670258851650424,0.023173058960621648,0.0,0.0,0.11977439568345018,0.0,0.0,0.051252447859264624,0.1579235882241461,0.0,0.04403356535517695,0.0,0.0,0.06077657305972075,0.0573916819966251,0.0,0.0,0.0,0.08428070888859773,0.0,0.0,0.09776700641071731,0.0,0.020061036216591655,0.06365424450344365,0.023627546728946954,0.08432749376003579,0.03873632591033566
2024-02-22,0.016201372704466133,0.09696406203931818,0.019688820915758964,0.02391910698714164,0.0,0.0,0.07621657643579793,0.0,0.0,0.019700693494305293,0.07670285907194155,0.0,0.10241467842707919,0.0,0.0,0.0951458419657093,0.07915550487037765,0.0,0.0,0.0,0.0,0.0,0.0,0.08797529511789809,0.0,0.013460186159294004,0.06876309670100544,0.07975483876505152,0.1439370663448551,0.0
2024-03-22,0.019689593904790026,0.07510176684199452,0.07668610660074379,0.0,0.0,0.0,0.021234955453624357,0.0,0.0,0.06963451617227284,0.14839142424375798,0.0,0.12970083741162855,0.0,0.0,0.10617974879809638,0.02269221737813357,0.0,0.0,0.0,0.061381111491609956,0.0,0.011725711068506967,0.10194983903226532,0.0,0.011819724412439066,0.016809156973640514,0.010547355812392103,0.1164559344041041,0.0
2024-04-22,0.0,0.03587509240587118,0.07668995305251249,0.004580818075202348,0.0,0.0,0.0,0.0,0.0,0.13972621522165768,0.28596875901401236,0.0038858133516387026,0.1124269094204937,0.0,0.0,0.1133270150023013,0.0,0.0,0.0,0.0,0.0,0.0,0.05624363227575876,0.11749967037272506,0.0,0.0,0.0,0.0,0.05377612180782643,0.0
2024-05-21,0.0,0.07516455084752936,0.06856071653771276,0.0,0.0,0.012065758382740814,0.0,0.0,0.0,0.08408941098324654,0.24634407176736528,0.007594717039720474,0.12214835429232843,0.0,0.0,0.08273860619653362,0.007890674478227208,0.0,0.0,0.0,0.005888744883145402,0.0,0.06762756381247755,0.14044784922146827,0.0,0.0027839856432336114,0.0,0.0,0.07665499591427073,0.0
2024-06-19,0.0,0.07706447267240679,0.05878585424686229,0.0,0.0,0.026277000064552504,0.0,0.0,0.0,0.08724083452539542,0.22808776848542034,0.011502956861807745,0.11735912839830398,0.0,0.0,0.08810527657797079,0.007871547915695179,0.0,0.0,0.0,0.0,0.0,0.06868842791297383,0.14326227037355552,0.0,0.0,0.0,0.0,0.08575446196505578,0.0
2024-07-18,0.0,0.04202475111748799,0.03791691139996212,0.0,0.0,0.091786225608052,0.0,0.0,0.0,0.06065154695028038,0.1625661546288829,0.07172737393224342,0.1140188681342236,0.0,0.0,0.07620676506060807,0.0,0.0,0.0,0.0,0.0,0.0,0.11174973208753142,0.12779524917720783,0.0,0.027786082758869776,0.0,0.0,0.07577033914465055,0.0
2024-08-16,0.0,0.007142040952443387,0.0542721110442711,0.0,0.0,0.0225885639748763,0.0,0.0,0.0,0.08107323682782447,0.21686655592294868,0.1541570146893706,0.03242567385760081,0.0,0.0,0.03583829902916425,0.0,0.0,0.028050636161062025,0.019913828879164645,0.014098436139259308,0.0,0.11456940566483767,0.14169141109435923,0.011637745151896198,0.029042618964467887,0.0,0.0,0.0021118054884510275,0.03452061615800235
2024-09-16,0.0,0.004938453577700629,0.0,0.0,0.0,0.06527622910888348,0.0,0.0020740979946332824,0.0,0.047498108171373066,0.19112371799329486,0.11225488189833314,0.0032541450517302936,0.0,0.0,0.03727432330498519,0.055841841320605344,0.0,0.014350374223982353,0.034363621665473396,0.0,0.0,0.14369633216104097,0.09776851164469708,0.0,0.023934088283511065,0.013609669175974354,0.0,0.008974931832312169,0.14376667259146947
2024-10-15,0.005571204057695397,0.061673974847498064,0.0,0.0,0.00229906525632911,0.03025230648228775,0.0014445057830870175,0.03730960790599348,0.0,0.0,0.028958640767958396,0.04106225205391775,0.00942174089753181,0.017513233381483,0.005779625519586565,0.058085873775130956,0.060603159715611365,0.0,0.026971402864321366,0.04558761738488598,0.060382871536815944,0.07516472818728559,0.07147803353463383,0.07858629706275658,0.0727596001184656,0.10233596268944033,0.04555256750653588,0.0,0.027557222527209897,0.03364850614353861
2024-11-13,0.04650111159474007,0.02297336209624633,0.0,0.022400339895374176,0.009889144176548565,0.03326342348631883,0.045339868247719836,0.038206655013583314,0.04297227418470586,0.016184208356985183,0.04224365792559622,0.020753632918513912,0.021637304932372835,0.0,0.029389325703711652,0.0764494011059149,0.01285345757866774,0.06327155028038621,0.0171519758009529,0.027722775582852605,0.025030594420081403,0.03980114481516939,0.07160042102017589,0.014247083683945512,0.091412204496345,0.03146230031124531,0.03744985043130404,0.06177722896082919,0.0,0.038015702979713024
