window,rebalance,cov,ridge,mv_ann_vol,mean_turnover
126,21,oas,1e-10,0.037138097368882,0.13480999969207336
126,21,oas,1e-12,0.03713810137030708,0.1348103722559265
126,5,oas,1e-08,0.03713897618432392,0.06297654921528606
126,5,oas,1e-10,0.03713932242630222,0.06299570652031145
126,5,oas,1e-12,0.03713932589217165,0.06299589822652943
252,21,ledoit_wolf,1e-06,0.037139642396297315,0.0737254476262291
252,21,oas,1e-06,0.037147484490213385,0.07490351145966596
252,21,ledoit_wolf,1e-08,0.037149577982792927,0.07592924045172975
252,21,ledoit_wolf,1e-10,0.03714971827634858,0.07595552945500764
252,21,ledoit_wolf,1e-12,0.037149719681138345,0.07595579257873002
252,21,oas,1e-08,0.037161089925263305,0.07753907862245672
252,21,oas,1e-10,0.03716124413844904,0.07756875898905413
252,21,oas,1e-12,0.03716124568277552,0.07756905608815536
252,10,sample,1e-06,0.03717112522661154,0.057007604435643726
252,5,sample,1e-06,0.03719621955132187,0.039846785504673105
252,10,sample,1e-08,0.03720871626930286,0.06000588172530396
252,10,sample,1e-10,0.037209200326302524,0.06004470618394214
252,10,sample,1e-12,0.03720920518249884,0.06004509565642239
252,5,sample,1e-08,0.03723609867266649,0.042142898344170836
252,5,sample,1e-10,0.03723675936709393,0.042178258454058655
252,5,sample,1e-12,0.03723676599587701,0.04217861325499941
252,21,sample,1e-06,0.03724224253987332,0.08829768386926158
252,21,sample,1e-08,0.03728527318150574,0.0922406207540205
252,21,sample,1e-10,0.03728576807957473,0.09228086091079911
252,21,sample,1e-12,0.03728577322595898,0.09228128608381858
63,21,ledoit_wolf,1e-06,0.03740898135507126,0.18969262244306154
63,21,ledoit_wolf,1e-08,0.03744864681547836,0.1937153780965654
63,21,ledoit_wolf,1e-10,0.037449089049498466,0.19375680242900445
63,21,ledoit_wolf,1e-12,0.03744909347495842,0.19375721685395011
63,21,oas,1e-06,0.03746285680865708,0.19517174245589378
63,21,oas,1e-08,0.03751196660524211,0.1995667974680348
63,21,oas,1e-10,0.03751249060061459,0.19961151110655476
63,21,oas,1e-12,0.03751249584417827,0.19961195844758864
126,10,sample,1e-06,0.03754062957015221,0.11444757722515381
126,5,sample,1e-06,0.0375468769205816,0.07995612514294664
126,21,sample,1e-06,0.037577203435712636,0.17011392312323148
126,10,sample,1e-08,0.037618770044795635,0.120609248815704
126,10,sample,1e-10,0.03761953795178713,0.12067090439468106
126,10,sample,1e-12,0.0376195456397698,0.1206715230847207
126,5,sample,1e-08,0.03762396365528938,0.08334397671190664
126,5,sample,1e-10,0.03762486235392692,0.0833777103767103
126,5,sample,1e-12,0.03762487167152836,0.08337808289311245
126,21,sample,1e-08,0.03765914713017877,0.1755597716942685
126,21,sample,1e-10,0.03766002517406073,0.1756013067652912
126,21,sample,1e-12,0.037660033966421105,0.17560172282114583
126,21,rmt_clip,1e-06,0.037674513861779134,0.11412246671586677
126,10,rmt_clip,1e-06,0.037711284169597084,0.07739785165752718
126,21,rmt_clip,1e-08,0.03771638337735387,0.11679976030417279
126,21,rmt_clip,1e-10,0.037716828605689846,0.11682803772647246
126,21,rmt_clip,1e-12,0.0377168330618602,0.11682832062509842
126,10,rmt_clip,1e-08,0.03774123498053455,0.07913375389110568
126,10,rmt_clip,1e-10,0.037741578403904755,0.07915143153612966
126,10,rmt_clip,1e-12,0.03774158184147796,0.07915160838852786
63,5,ledoit_wolf,1e-06,0.03775411825963917,0.09253003166306875
126,5,rmt_clip,1e-06,0.0377799711520807,0.054063347673393776
63,5,ledoit_wolf,1e-08,0.03778982533580039,0.09445895597670935
63,5,ledoit_wolf,1e-10,0.037790189160388635,0.09447847498697155
63,5,ledoit_wolf,1e-12,0.03779019280122416,0.0944786702596243
63,5,oas,1e-06,0.037813449680148374,0.09547322186539524
126,5,rmt_clip,1e-08,0.037814079665875175,0.055295968645905975
126,5,rmt_clip,1e-10,0.037814461117315394,0.055308578368523424
126,5,rmt_clip,1e-12,0.0378144649353982,0.0553087045196431
63,10,ledoit_wolf,1e-06,0.03781884684216733,0.13196023144751798
252,21,rmt_clip,1e-08,0.03782120933901727,0.062419150895689404
252,21,rmt_clip,1e-10,0.03782121061700439,0.06243258140534647
252,21,rmt_clip,1e-12,0.037821210631881264,0.062432715768205006
252,21,rmt_clip,1e-06,0.03782232008636828,0.06111085485125369
63,5,oas,1e-08,0.03785599059265724,0.09757232139656082
63,5,oas,1e-10,0.03785644211503318,0.09759433145380722
63,5,oas,1e-12,0.03785644663854693,0.09759455158981181
63,10,ledoit_wolf,1e-08,0.037857914858273486,0.13478530074056727
63,10,ledoit_wolf,1e-10,0.03785831357950972,0.1348143420871411
63,10,ledoit_wolf,1e-12,0.037858317569420284,0.13481463262392882
252,10,rmt_clip,1e-12,0.03786792162084592,0.04214198956355166
252,10,rmt_clip,1e-10,0.03786792188677475,0.04214189929795386
252,10,rmt_clip,1e-08,0.03786794867626158,0.04213288321037448
63,10,oas,1e-06,0.037870667129161074,0.13610216803769357
252,5,rmt_clip,1e-08,0.03787089316334947,0.029603079910074374
252,5,rmt_clip,1e-10,0.03787089680492277,0.02961007702378706
252,5,rmt_clip,1e-12,0.03787089684343711,0.02961014702526712
252,5,rmt_clip,1e-06,0.037872752667367116,0.0289376329184123
252,10,rmt_clip,1e-06,0.037873046870524084,0.04125088300331622
63,10,oas,1e-08,0.037917182786139605,0.13918022056095103
63,10,oas,1e-10,0.0379176839123665,0.13921268874813858
63,10,oas,1e-12,0.0379176889267762,0.13921301357581753
63,21,rmt_clip,1e-06,0.03827949420707732,0.21980053575475356
63,21,rmt_clip,1e-08,0.038347602459420045,0.22469102858603662
63,21,rmt_clip,1e-10,0.03834834375027404,0.22474287486218217
63,21,rmt_clip,1e-12,0.038348351169168675,0.2247433935703632
63,5,rmt_clip,1e-06,0.03887340994346247,0.11629417361069731
63,10,rmt_clip,1e-06,0.03888068697795302,0.1637005732002187
63,5,rmt_clip,1e-08,0.038941712668057654,0.11871875317825732
63,5,rmt_clip,1e-10,0.03894243353117959,0.1187440237855526
63,5,rmt_clip,1e-12,0.03894244074079069,0.11874427648672288
63,10,rmt_clip,1e-08,0.038951446947609596,0.16710090177436704
63,10,rmt_clip,1e-10,0.038952204417353344,0.16713690428038072
63,10,rmt_clip,1e-12,0.03895221199781952,0.1671372644715677
63,21,sample,1e-06,0.039088300364360486,0.29242513526456937
63,21,sample,1e-08,0.03926042666899313,0.30222839238364135
63,21,sample,1e-10,0.03926227838142855,0.3023321231408941
63,21,sample,1e-12,0.03926229691872814,0.3023331632897079
63,5,sample,1e-06,0.03935113422230049,0.1496786037177082
63,10,sample,1e-06,0.039387386881694894,0.21285073513126126
63,5,sample,1e-08,0.03950480190902266,0.15506578635629908
63,5,sample,1e-10,0.03950656510209683,0.15512322632633918
63,5,sample,1e-12,0.03950658273453711,0.155123804343211
63,10,sample,1e-08,0.03954683278435916,0.2204618237129784
63,10,sample,1e-10,0.039548369780381065,0.22053326735958423
63,10,sample,1e-12,0.03954838532208679,0.22053398455918208
