rebalance_every_trading_days,method,annual_return,annual_volatility,sharpe_zero_rf,max_drawdown,mean_one_way_weight_change_per_rebalance,approximate_one_way_weight_change_per_year,annual_variance_difference_vs_equal_weight,simultaneous_ci_low,simultaneous_ci_high,familywise_p_value
5,equal_weight,-0.08926082344187136,0.09757534625458647,-0.9147886927193529,-0.3043853854162978,0.0,0.0,0.0,0.0,0.0,1.0
5,inverse_volatility,-0.08765446044657077,0.0979302415606507,-0.8950703995995367,-0.30068061226292364,0.00915564777114306,0.4614446476656102,6.938401542495493e-05,-0.00011058118905580796,0.0002493492199057178,0.5986
5,minimum_variance,-0.06959040488000301,0.09696938387474457,-0.7176533674782649,-0.291234555943244,0.12455611752480444,6.277628323250144,-0.00011788678765487133,-0.0012765711323131281,0.0010407975570033852,0.9637
10,equal_weight,-0.08926082344187136,0.09757534625458647,-0.9147886927193529,-0.3043853854162978,0.0,0.0,0.0,0.0,0.0,1.0
10,inverse_volatility,-0.08762211115510343,0.09782440714105664,-0.8957080724113958,-0.300250185301425,0.013550077732795391,0.34146195886644387,4.866643579677085e-05,-0.00012503111269578324,0.00022236398428932493,0.7657
10,minimum_variance,-0.07007474954886317,0.09698949119865485,-0.7224983725848748,-0.28769167533889206,0.17813634039972576,4.489035778073089,-0.00011398679372849461,-0.0012929745698240435,0.0010650009823670544,0.9687
21,equal_weight,-0.08926082344187136,0.09757534625458647,-0.9147886927193529,-0.3043853854162978,0.0,0.0,0.0,0.0,0.0,1.0
21,inverse_volatility,-0.08731634169378377,0.09779703408796082,-0.8928322060897012,-0.30077952301934563,0.020543681114897343,0.2465241733787681,4.331167969932973e-05,-0.00011524465872845237,0.00020186801812711183,0.7611
21,minimum_variance,-0.05975223722578449,0.09729415755923058,-0.6141400339420033,-0.2858208073321883,0.269240001102825,3.2308800132338993,-5.4795101542055776e-05,-0.0010394868956487724,0.0009298966925646608,0.9888
