block_length,comparison,annual_variance_difference,simultaneous_ci_low,simultaneous_ci_high,familywise_p_value
5,inverse_volatility minus equal_weight,4.331167969932973e-05,-0.00011693091135169399,0.00020355427075035345,0.7726
5,minimum_variance minus equal_weight,-0.00033077116263513626,-0.0012620562406584757,0.0006005139153882032,0.6516
10,inverse_volatility minus equal_weight,4.331167969932973e-05,-0.00011424128032727561,0.00020086463972593507,0.7705
10,minimum_variance minus equal_weight,-0.00033077116263513626,-0.0012580729019464043,0.0005965305766761318,0.6465
21,inverse_volatility minus equal_weight,4.331167969932973e-05,-9.156069423193249e-05,0.00017818405363059195,0.7038
21,minimum_variance minus equal_weight,-0.00033077116263513626,-0.0012655644136377185,0.0006040220883674461,0.6557
