,strat_001,strat_002,strat_003,strat_004,strat_005,strat_006,strat_007,strat_008,strat_009,strat_010,strat_011,strat_012,strat_013,strat_014,strat_015,strat_016,strat_017,strat_018,strat_019,strat_020,strat_021,strat_022,strat_023,strat_024,strat_025,strat_026,strat_027,strat_028,strat_029,strat_030
2023-07-03,0.036557799159165266,0.03578015975644239,0.03662311813303785,0.034688613881500616,0.037287808627423674,0.03839039840752171,0.040302952986267765,0.027553129617422914,0.031310738445620684,0.030924631711145897,0.037994271057631486,0.03378897862055238,0.03548587507801805,0.03083326856448202,0.03310903846413924,0.03644542990732792,0.03460676103957726,0.0467707840969961,0.0407404562009564,0.030509381088478456,0.030099100261611608,0.03739515337310925,0.03326433186893649,0.021049852528645843,0.032403649008209884,0.020205469873932957,0.02211604305682855,0.039889401684351934,0.027356472558914186,0.02651693094175122
2023-08-01,0.037438327598371325,0.03708221048484377,0.03745795401545512,0.036105350305384566,0.03917177342501866,0.04028116510101685,0.04121479625056667,0.027580333961992214,0.031146742810170797,0.028911414714783604,0.0386578164042472,0.03314628314111869,0.03424975079261894,0.03017670096252212,0.03442492953915723,0.03347964302544815,0.03164769099885593,0.046946393229633225,0.04207535152361101,0.031047842241507282,0.0292755364972401,0.038232386917521184,0.033221072535016875,0.021283327100690703,0.03433431011131731,0.01943436179994309,0.021157292582727097,0.037972431156596625,0.02686729074574841,0.02597952002687519
2023-08-30,0.03854062999678054,0.038448577023802596,0.03866886657934522,0.03703651418565647,0.03998075818024144,0.04089930493092279,0.04232978474064536,0.027770580007973965,0.03129225110448692,0.028412527823164967,0.03968211160197222,0.03314527935412683,0.03319436984924,0.029112247498388942,0.036385757053208005,0.03116064697438711,0.03238829812153879,0.04516972452155579,0.04083453822838766,0.031831218365603514,0.026545170153210222,0.03682567385964973,0.035981618296245625,0.020424502593381806,0.03249429709411687,0.020132108341422005,0.020288292622509686,0.03541454832614883,0.028066494767573565,0.027543307804312387
2023-09-28,0.04059726347200732,0.03938796617863758,0.040755374326523534,0.038377252091372535,0.04243937373046542,0.04103343271953023,0.04183847582730975,0.02783186020609245,0.03159151830961771,0.027964162529826475,0.04093066819656848,0.032502747606075175,0.03501505814075612,0.027287043030831123,0.03442698320620779,0.029798605173441753,0.02785775361444896,0.04266471684317956,0.03944542320079903,0.030306751489306654,0.026582857939139545,0.03412995571787068,0.03921001470315163,0.021163886232098857,0.034144052471503185,0.020016390329846628,0.019582676441526236,0.03621461365419494,0.02841752267980581,0.02848559993786482
2023-10-27,0.03850475142762635,0.0366281202794758,0.03901569280699966,0.03596747941317471,0.0392665478520485,0.03778060344445566,0.04421057181787323,0.029531549531085936,0.03419016201028028,0.028404907101469187,0.04310620979735407,0.0325159720839732,0.037139520388442586,0.02789845847534204,0.03410962609037973,0.02935558801618495,0.02716699464356811,0.04251116600046707,0.040055885015743406,0.03200977558561724,0.027498371157740314,0.035461826844107085,0.038283044567100834,0.021704646394684286,0.03399856937930222,0.021507090916445877,0.01934296437308558,0.034987114240053754,0.031257735230461915,0.026589055115456343
2023-11-27,0.03596202485191182,0.03477490435393997,0.03621448162055763,0.03388910852038464,0.03617598377792714,0.03553722252840195,0.04613992880761263,0.02962008418890123,0.03483732124430599,0.02990295144674354,0.043305190786939944,0.035342755038911385,0.03664842351711586,0.027241171248260903,0.03455490947014225,0.030376680258972527,0.027503550708154058,0.044092327688301236,0.04001748651858381,0.03262730441645086,0.028142378025393485,0.036262506053384574,0.04032427284958978,0.02180275311882346,0.035150416418130756,0.02079047158886616,0.018945799697410014,0.035651151619284754,0.03025542236352215,0.027911017273075635
2023-12-26,0.036104372904829644,0.03497186654306261,0.036747325521242206,0.03468638306680454,0.03679546079606196,0.035390874827259965,0.04500950506190361,0.03262128369058262,0.034818333739648114,0.028451387902848152,0.045403140744385825,0.035521283191957055,0.03565970324934968,0.028651589749615736,0.03502810128652331,0.03032901039478457,0.02592195248451564,0.04014441102540344,0.039554466397481336,0.03133662562724448,0.027724435152239737,0.03536148837363167,0.039599148623937305,0.023613500846180923,0.036653008897950576,0.020492183394781965,0.021763682249999344,0.03522785758172259,0.029330554106139384,0.027087062567912133
2024-01-24,0.03620571944082469,0.03651579160659756,0.03767052333972868,0.036647748687646246,0.036239207988911046,0.03428865466286547,0.04816763494707401,0.031379867435447656,0.0351537064685675,0.034225892013804354,0.05013448695906344,0.03049442948089496,0.03611023228658411,0.02949677998112474,0.03379905951668814,0.031847654102410236,0.030430557229161263,0.03563289649035677,0.037423694450803895,0.02996782098253502,0.030975779001230008,0.03289546672892608,0.034527047037441284,0.023367493943823873,0.027623197451775598,0.021357281033783423,0.02514091880018818,0.03549297203584882,0.029747444050709875,0.027040041845182994
2024-02-22,0.03849248571944687,0.03950525185841975,0.03966553488561293,0.038515274245895396,0.03718243597308685,0.03804079725986363,0.04396845207914155,0.03150023234113028,0.031935539916741924,0.03265217971022211,0.0434595868226101,0.029668942110851165,0.03715834400386696,0.030328571086520376,0.03381274433411065,0.031956135728463744,0.03164967670955468,0.035460613428041424,0.036079399662382126,0.029466225341028343,0.03034970799220556,0.02890197125339271,0.033821757027593415,0.02250513198187388,0.028931565842824396,0.022864388844151526,0.025263739548447232,0.03790645998648571,0.032201259615569126,0.02675559469046556
2024-03-22,0.03956699061569838,0.040569302543522624,0.040690781863384866,0.039437686130564496,0.03819901040687696,0.038996323541172176,0.042605367892783914,0.03333718642749422,0.031043761377789865,0.03440079007341545,0.041107407593293566,0.032486000512025506,0.03646865765666552,0.03104914257480409,0.03225646256844332,0.033203972399517695,0.0323099109053234,0.029472309592111823,0.03545830236563517,0.029693619435508203,0.03145180862582884,0.02983672669844481,0.032474494026251896,0.02496661283541439,0.03011909197901345,0.024571889006857837,0.025654747494316187,0.03154883873617218,0.031296819370061506,0.025725984751607468
