method,annual_return,annual_volatility,sharpe_zero_rf,max_drawdown
equal_weight,-0.08926082344187136,0.09757534625458647,-0.9147886927193529,-0.3043853854162978
inverse_volatility,-0.08731634169378377,0.09779703408796082,-0.8928322060897012,-0.30077952301934563
minimum_variance,-0.05975223722578449,0.09729415755923058,-0.6141400339420033,-0.2858208073321883
minimum_variance_oas,-0.06450430002693575,0.0963926295301383,-0.6691829068400682,-0.2869027789873232
