message_type,sending_time,arrival_time
MarketChange,1772701393588307000,1772701393588416925
Ticker,1772701393589420000,1772701393589545437
MarketChange,1772701393589420000,1772701393589545437
MarketChange,1772701393625881000,1772701393626004194
Ticker,1772701393626182000,1772701393626272297
MarketChange,1772701393626182000,1772701393626272297
Ticker,1772701393626227000,1772701393626395442
MarketChange,1772701393626227000,1772701393626395442
MarketChange,1772701393626456000,1772701393626645691
MarketChange,1772701393626557000,1772701393626769247
Ticker,1772701393626602000,1772701393626772197
MarketChange,1772701393626602000,1772701393626772197
MarketChange,1772701393626783000,1772701393626900472
MarketChange,1772701393628659000,1772701393628886275
Ticker,1772701393635099000,1772701393635297885
MarketChange,1772701393635099000,1772701393635297885
MarketChange,1772701393706391000,1772701393706472786
MarketChange,1772701393706431000,1772701393706596698
MarketChange,1772701393706461000,1772701393706598515
MarketChange,1772701393707255000,1772701393707319413
Ticker,1772701393723981000,1772701393724075015
MarketChange,1772701393723981000,1772701393724075015
MarketChange,1772701393778360000,1772701393778492766
MarketChange,1772701393778660000,1772701393778774778
MarketChange,1772701393808516000,1772701393808599388
MarketChange,1772701393858880000,1772701393859015859
MarketChange,1772701394044199000,1772701394044289719
MarketChange,1772701394076579000,1772701394076713293
MarketChange,1772701394091175000,1772701394091305280
MarketChange,1772701394219063000,1772701394219191673
Ticker,1772701395460202000,1772701395460304203
MarketChange,1772701395460202000,1772701395460304203
MarketChange,1772701395540733000,1772701395540858374
MarketChange,1772701395606423000,1772701395606539087
Ticker,1772701396736674000,1772701396736824210
MarketChange,1772701396736674000,1772701396736824210
Ticker,1772701397997715000,1772701397997828286
MarketChange,1772701397997715000,1772701397997828286
MarketChange,1772701398469256000,1772701398469326733
MarketChange,1772701398469516000,1772701398469590530
MarketChange,1772701398469547000,1772701398469712562
MarketChange,1772701398469572000,1772701398469714829
MarketChange,1772701398469597000,1772701398469716805
Ticker,1772701398469785000,1772701398469884232
Ticker,1772701398469803000,1772701398470010738
MarketChange,1772701398469803000,1772701398470010738
Ticker,1772701398469844000,1772701398470012997
MarketChange,1772701398469844000,1772701398470012997
MarketChange,1772701398469886000,1772701398470136773
MarketChange,1772701398470791000,1772701398470914540
Ticker,1772701398470842000,1772701398471039836
Ticker,1772701398470857000,1772701398471042621
MarketChange,1772701398470857000,1772701398471042621
MarketChange,1772701398550352000,1772701398550451012
MarketChange,1772701398550380000,1772701398550566792
MarketChange,1772701398551285000,1772701398551352428
MarketChange,1772701398574387000,1772701398574469254
MarketChange,1772701398596534000,1772701398596613080
MarketChange,1772701398617837000,1772701398617909912
MarketChange,1772701398652922000,1772701398652995922
Ticker,1772701398653160000,1772701398653245970
MarketChange,1772701398653160000,1772701398653245970
MarketChange,1772701398653189000,1772701398653370206
Ticker,1772701398653229000,1772701398653372902
MarketChange,1772701398653229000,1772701398653372902
MarketChange,1772701398750996000,1772701398751136541
MarketChange,1772701398778771000,1772701398778895803
MarketChange,1772701398787764000,1772701398787841930
MarketChange,1772701398798778000,1772701398798848908
Ticker,1772701398799078000,1772701398799349992
MarketChange,1772701398799078000,1772701398799349992
MarketChange,1772701398799135000,1772701398799353364
MarketChange,1772701398800301000,1772701398800419191
MarketChange,1772701398873063000,1772701398873135199
MarketChange,1772701399700941000,1772701399701067480
MarketChange,1772701399874749000,1772701399874870305
MarketChange,1772701399943431000,1772701399943557998
MarketChange,1772701400015522000,1772701400015659057
Ticker,1772701400173686000,1772701400173829484
MarketChange,1772701400173686000,1772701400173829484
MarketChange,1772701400174626000,1772701400174701712
MarketChange,1772701400288789000,1772701400288872742
MarketChange,1772701400369273000,1772701400369351182
MarketChange,1772701400391856000,1772701400391925989
MarketChange,1772701400468293000,1772701400468367972
MarketChange,1772701400663746000,1772701400663823123
MarketChange,1772701400880422000,1772701400880509205
MarketChange,1772701400956707000,1772701400956787844
MarketChange,1772701401074784000,1772701401074855263
MarketChange,1772701401088975000,1772701401089048372
MarketChange,1772701402156412000,1772701402156498426
MarketChange,1772701402712424000,1772701402712540031
MarketChange,1772701402792964000,1772701402793037657
MarketChange,1772701402991388000,1772701402991456768
MarketChange,1772701403057682000,1772701403057758616
MarketChange,1772701403091290000,1772701403091360344
Ticker,1772701403146890000,1772701403146988215
MarketChange,1772701403146890000,1772701403146988215
MarketChange,1772701403161342000,1772701403161417444
MarketChange,1772701403297507000,1772701403297573588
MarketChange,1772701403312379000,1772701403312446602
MarketChange,1772701403793970000,1772701403794042498
MarketChange,1772701403874479000,1772701403874597825
MarketChange,1772701403874508000,1772701403874723969
MarketChange,1772701403893244000,1772701403893320791
MarketChange,1772701403968054000,1772701403968129750
MarketChange,1772701404049221000,1772701404049290776
MarketChange,1772701404094325000,1772701404094395701
MarketChange,1772701404166191000,1772701404166267478
MarketChange,1772701404171327000,1772701404171392189
MarketChange,1772701404467692000,1772701404467774936
MarketChange,1772701404468004000,1772701404468073111
MarketChange,1772701404468028000,1772701404468197084
MarketChange,1772701404468417000,1772701404468493812
