message_type,sending_time,arrival_time
MarketChange,1773219786631858000,1773219786631961183
MarketChange,1773219786631884000,1773219786631962884
MarketChange,1773219786631909000,1773219786632084846
MarketChange,1773219786632248000,1773219786632467953
MarketChange,1773219786679838000,1773219786679957356
MarketChange,1773219786689418000,1773219786689524184
Ticker,1773219786744770000,1773219786744881198
Ticker,1773219786744794000,1773219786745008463
MarketChange,1773219786744794000,1773219786745008463
MarketChange,1773219786745079000,1773219786745148047
MarketChange,1773219786745114000,1773219786745274080
MarketChange,1773219786745231000,1773219786745401034
MarketChange,1773219786745287000,1773219786745523914
MarketChange,1773219786745443000,1773219786745525274
MarketChange,1773219786745666000,1773219786745726738
Ticker,1773219786745827000,1773219786745975673
Ticker,1773219786745841000,1773219786745978498
MarketChange,1773219786745841000,1773219786745978498
MarketChange,1773219786746119000,1773219786746226857
Ticker,1773219786746464000,1773219786746600915
MarketChange,1773219786746464000,1773219786746600915
MarketChange,1773219786746880000,1773219786746975587
Ticker,1773219786747963000,1773219786748042065
MarketChange,1773219786747963000,1773219786748042065
MarketChange,1773219786748637000,1773219786748709296
MarketChange,1773219786749598000,1773219786749659829
MarketChange,1773219786752207000,1773219786752279994
MarketChange,1773219786754054000,1773219786754155598
MarketChange,1773219786860277000,1773219786860347294
MarketChange,1773219786930741000,1773219786930823344
MarketChange,1773219786934232000,1773219786934296735
MarketChange,1773219786972547000,1773219786972626695
Ticker,1773219786991017000,1773219786991121243
Ticker,1773219786991053000,1773219786991245800
MarketChange,1773219786991053000,1773219786991245800
MarketChange,1773219786991671000,1773219786991814568
MarketChange,1773219787074307000,1773219787074424463
Ticker,1773219787246088000,1773219787246223189
MarketChange,1773219787246088000,1773219787246223189
MarketChange,1773219787427194000,1773219787427256109
MarketChange,1773219787427275000,1773219787427380508
Ticker,1773219787504060000,1773219787504155159
MarketChange,1773219787504060000,1773219787504155159
Ticker,1773219787504524000,1773219787504633113
Ticker,1773219787504534000,1773219787504758712
Ticker,1773219787504548000,1773219787504759226
Ticker,1773219787504556000,1773219787504761230
MarketChange,1773219787504556000,1773219787504761230
Ticker,1773219787505500000,1773219787505673540
Ticker,1773219787505513000,1773219787505675346
MarketChange,1773219787505524000,1773219787505800274
MarketChange,1773219787645713000,1773219787645827246
MarketChange,1773219787652537000,1773219787652663658
Ticker,1773219787684266000,1773219787684396640
MarketChange,1773219787684266000,1773219787684396640
MarketChange,1773219787684516000,1773219787684671631
MarketChange,1773219787684547000,1773219787684794061
Ticker,1773219787684615000,1773219787684919603
MarketChange,1773219787684629000,1773219787684921267
MarketChange,1773219787684688000,1773219787684924284
Ticker,1773219787684779000,1773219787685168118
MarketChange,1773219787684779000,1773219787685168118
Ticker,1773219787684874000,1773219787685291552
MarketChange,1773219787684880000,1773219787685418160
MarketChange,1773219787684989000,1773219787685542160
MarketChange,1773219787685068000,1773219787685546247
MarketChange,1773219787685091000,1773219787685666876
MarketChange,1773219787685119000,1773219787685674673
MarketChange,1773219787685168000,1773219787685792007
MarketChange,1773219787685579000,1773219787686040019
Ticker,1773219787685621000,1773219787686044281
MarketChange,1773219787685621000,1773219787686044281
MarketChange,1773219787690135000,1773219787690208905
Ticker,1773219787690345000,1773219787690648469
MarketChange,1773219787690345000,1773219787690648469
MarketChange,1773219787690406000,1773219787690651638
MarketChange,1773219787690431000,1773219787690653436
MarketChange,1773219787690810000,1773219787691017552
MarketChange,1773219787765443000,1773219787765559377
MarketChange,1773219787765719000,1773219787765829736
Ticker,1773219787765768000,1773219787766114664
MarketChange,1773219787765768000,1773219787766114664
MarketChange,1773219787765884000,1773219787766117076
MarketChange,1773219787766139000,1773219787766363732
MarketChange,1773219787766400000,1773219787766562430
MarketChange,1773219787766537000,1773219787766689899
MarketChange,1773219787884869000,1773219787884943107
MarketChange,1773219787966389000,1773219787966460673
MarketChange,1773219787966631000,1773219787966791041
MarketChange,1773219787966657000,1773219787966915969
Ticker,1773219787966818000,1773219787967039748
MarketChange,1773219787966818000,1773219787967039748
MarketChange,1773219787966938000,1773219787967163744
Ticker,1773219787967059000,1773219787967291352
MarketChange,1773219787967068000,1773219787967293775
MarketChange,1773219787967187000,1773219787967412000
MarketChange,1773219787967212000,1773219787967414699
MarketChange,1773219788003897000,1773219788004020730
MarketChange,1773219788105841000,1773219788105956373
Ticker,1773219788197706000,1773219788197935629
Ticker,1773219788197718000,1773219788198057588
Ticker,1773219788197734000,1773219788198059516
Ticker,1773219788197748000,1773219788198063025
MarketChange,1773219788197748000,1773219788198063025
MarketChange,1773219788199712000,1773219788199923155
MarketChange,1773219788212748000,1773219788212868058
MarketChange,1773219788213065000,1773219788213160075
MarketChange,1773219788213157000,1773219788213424360
Ticker,1773219788213361000,1773219788213547477
MarketChange,1773219788213361000,1773219788213547477
Ticker,1773219788213545000,1773219788213802034
MarketChange,1773219788213545000,1773219788213802034
Ticker,1773219788213710000,1773219788213924910
MarketChange,1773219788213710000,1773219788213924910
MarketChange,1773219788215910000,1773219788216043968
MarketChange,1773219788216141000,1773219788216289904
MarketChange,1773219788224949000,1773219788225118286
Ticker,1773219788323966000,1773219788324063317
MarketChange,1773219788323966000,1773219788324063317
MarketChange,1773219788466717000,1773219788466784610
MarketChange,1773219788466742000,1773219788466910275
MarketChange,1773219788468363000,1773219788468430905
Ticker,1773219788468683000,1773219788468802700
MarketChange,1773219788468683000,1773219788468802700
MarketChange,1773219788476590000,1773219788476870776
MarketChange,1773219788508117000,1773219788508230437
MarketChange,1773219788606202000,1773219788606360204
MarketChange,1773219788606240000,1773219788606482433
MarketChange,1773219789548591000,1773219789548663021
MarketChange,1773219789555094000,1773219789555158496
Ticker,1773219789557340000,1773219789557421648
MarketChange,1773219789557340000,1773219789557421648
Ticker,1773219789623024000,1773219789623157350
MarketChange,1773219789623024000,1773219789623157350
MarketChange,1773219789783572000,1773219789783683020
Ticker,1773219790275501000,1773219790275600362
MarketChange,1773219790275501000,1773219790275600362
MarketChange,1773219790275774000,1773219790275837725
MarketChange,1773219790275864000,1773219790275964459
MarketChange,1773219790533795000,1773219790533890260
MarketChange,1773219790586208000,1773219790586294358
MarketChange,1773219790605992000,1773219790606077581
MarketChange,1773219790814044000,1773219790814130289
MarketChange,1773219790866905000,1773219790866970971
MarketChange,1773219790878799000,1773219790878880893
MarketChange,1773219791534301000,1773219791534365527
MarketChange,1773219791589214000,1773219791589283392
MarketChange,1773219791726021000,1773219791726087254
Ticker,1773219792622549000,1773219792622651219
MarketChange,1773219792622549000,1773219792622651219
MarketChange,1773219792734295000,1773219792734409456
MarketChange,1773219792734589000,1773219792734659438
MarketChange,1773219792779553000,1773219792779612694
MarketChange,1773219792779782000,1773219792779853187
MarketChange,1773219792779808000,1773219792779980892
MarketChange,1773219792780118000,1773219792780176486
Ticker,1773219792780165000,1773219792780299391
MarketChange,1773219792780165000,1773219792780299391
MarketChange,1773219792797434000,1773219792797549554
MarketChange,1773219794166168000,1773219794166241641
MarketChange,1773219794355106000,1773219794355226493
MarketChange,1773219794355409000,1773219794355478959
MarketChange,1773219794355434000,1773219794355602792
MarketChange,1773219795061754000,1773219795061831669
Ticker,1773219795061975000,1773219795062082763
MarketChange,1773219795061975000,1773219795062082763
Ticker,1773219795062064000,1773219795062206075
MarketChange,1773219795062072000,1773219795062207535
MarketChange,1773219795062132000,1773219795062328578
MarketChange,1773219795062200000,1773219795062452975
MarketChange,1773219795062341000,1773219795062455477
MarketChange,1773219795063189000,1773219795063331145
MarketChange,1773219795063525000,1773219795063699626
MarketChange,1773219795065055000,1773219795065192692
MarketChange,1773219795065764000,1773219795065983297
MarketChange,1773219795066493000,1773219795066607745
MarketChange,1773219795069304000,1773219795069410096
MarketChange,1773219795312451000,1773219795312521489
Ticker,1773219795312707000,1773219795312794380
MarketChange,1773219795312707000,1773219795312794380
MarketChange,1773219795312738000,1773219795312918612
Ticker,1773219795312960000,1773219795313165416
MarketChange,1773219795312960000,1773219795313165416
MarketChange,1773219795312991000,1773219795313167522
MarketChange,1773219795313291000,1773219795313518745
MarketChange,1773219795370527000,1773219795370593336
MarketChange,1773219795433154000,1773219795433219301
MarketChange,1773219795563304000,1773219795563370472
MarketChange,1773219795565188000,1773219795565332726
MarketChange,1773219795565476000,1773219795565536236
Ticker,1773219796060902000,1773219796061022640
MarketChange,1773219796060902000,1773219796061022640
Ticker,1773219796061243000,1773219796061317383
MarketChange,1773219796061243000,1773219796061317383
MarketChange,1773219796068036000,1773219796068115079
MarketChange,1773219796078782000,1773219796078916137
MarketChange,1773219796116973000,1773219796117042404
MarketChange,1773219796117195000,1773219796117261168
MarketChange,1773219796117223000,1773219796117388472
MarketChange,1773219796117303000,1773219796117512688
MarketChange,1773219796181508000,1773219796181571198
MarketChange,1773219796316169000,1773219796316246224
MarketChange,1773219796316459000,1773219796316625247
MarketChange,1773219796410848000,1773219796410920236
